department,account_code,description,amount,fiscal_year,column_type,row_type,source_file,source_page
Unknown,,Free Cash (Beginning of Year),27250545.94,2024,actual,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,Free Cash (Beginning of Year),28171581.0,2025,budget,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,Appropriated Free Cash,-4495134.0,2021,actual,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,Appropriated Free Cash,-10328076.11,2022,actual,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,Appropriated Free Cash,-18237662.0,2023,actual,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,Appropriated Free Cash,-14089936.0,2024,actual,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,Appropriated Free Cash,-11947068.0,2025,budget,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,Net Free Cash generated,12150103.0,2021,actual,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,Net Free Cash generated,11635580.0,2022,actual,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,Net Free Cash generated,18349864.0,2023,actual,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,Net Free Cash generated,15010971.06,2024,actual,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,Net Free Cash generated,6000000.0,2025,budget,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,End of year,25830840.05,2021,actual,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,End of year,27138343.94,2022,actual,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,End of year,27250545.94,2023,actual,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,End of year,28171581.0,2024,actual,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,End of year,22224513.0,2025,budget,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,Budgeted Operating Revenues,160695527.0,2021,actual,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,Budgeted Operating Revenues,165733774.0,2022,actual,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,Budgeted Operating Revenues,180567386.0,2023,actual,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,Budgeted Operating Revenues,187216182.0,2024,actual,line_item,wellesley_fy2026_budget.pdf,37
Unknown,,Budgeted Operating Revenues,188563572.0,2025,budget,line_item,wellesley_fy2026_budget.pdf,37
